,Ticker,Stock Price,Market Capitilization,Number of shares to buy
0,A,158.5,48537880838,7803
1,AAL,18.35,12077330051,67400
2,AAP,235.05,15188260418,5261
3,AAPL,179.72,2952107153156,6881
4,ABBV,137.07,246825807764,9023
5,ABC,132.69,27996592997,9320
6,ABMD,352.71,16370989626,3506
7,ABT,143.85,250099732028,8597
8,ACN,404.25,274706926896,3059
9,ADBE,594.66,276241405324,2079
10,ADI,173.13,66065755637,7143
11,ADM,67.22,36942597226,18399
12,ADP,242.0,106787513760,5110
13,ADSK,281.5,62484637894,4393
14,AEE,87.83,23304412443,14081
15,AEP,88.14,45650851214,14032
16,AES,24.01,15949821137,51511
17,AFL,60.57,39575368669,20419
18,AIG,58.76,48101409998,21048
19,AIV,7.87,1210000222,157153
20,AIZ,152.33,8864874616,8119
21,AJG,171.4,34653481559,7215
22,AKAM,118.7,19516111608,10419
23,ALB,239.0,27825170300,5174
24,ALGN,657.18,54005655838,1881
25,ALK,53.24,6784436847,23230
26,ALL,117.42,33734120510,10533
27,ALLE,132.69,11464112544,9320
28,ALXN,184.1,41702933907,6718
29,AMAT,162.7,143127155795,7601
30,AMCR,11.7,18601578508,105709
31,AMD,146.67,181420324322,8432
32,AME,149.55,33913541062,8270
33,AMGN,228.78,130727733190,5406
34,AMP,304.73,34608124339,4058
35,AMT,288.34,128735691208,4289
36,AMZN,3539.83,1797446990797,349
37,ANET,147.16,10914619860,8404
38,ANSS,404.86,35386484401,3054
39,ANTM,464.8,111313872967,2660
40,AON,292.91,64889280348,4222
41,AOS,86.87,13851626984,14237
42,APA,26.6,9910740697,46496
43,APD,308.97,69361382398,4002
44,APH,85.63,52736426252,14443
45,APTV,167.3,45872206461,7392
46,ARE,226.45,33895044711,5461
47,ATO,103.55,13956175398,11943
48,ATVI,65.37,51767667367,18919
49,AVB,252.99,35722666758,4888
50,AVGO,671.1,275405228225,1842
51,AVY,218.82,17606687386,5652
52,AWK,183.0,33971567891,6758
53,AXP,167.75,131246892901,7372
54,AZO,2099.6,41667172590,589
55,BA,214.35,125735378381,5769
56,BAC,45.74,367969881142,27039
57,BAX,88.34,43199994965,14000
58,BBY,100.53,24337746711,12302
59,BDX,257.21,70978612557,4808
60,BEN,33.94,16962515300,36440
61,BF.B,74.14,34167997280,16681
62,BIIB,239.98,34649452927,5153
63,BIO,779.06,23068337425,1587
64,BK,58.17,50264482129,21261
65,BKNG,2458.24,101918862190,503
66,BKR,24.79,25468910236,49890
67,BLK,924.7,143630505099,1337
68,BLL,93.0,29670083947,13298
69,BMY,63.81,143313263060,19382
70,BR,184.93,21582522971,6687
71,BRK.B,306.63,685801941989,4033
72,BSX,44.54,62468732571,27768
73,BWA,44.81,10951387597,27600
74,BXP,117.12,18294321145,10560
75,C,60.6,126247785964,20409
76,CAG,34.75,16589631267,35591
77,CAH,52.96,14357687073,23353
78,CARR,53.15,47871526016,23269
79,CAT,214.0,112249277544,5779
80,CB,191.55,85536098249,6456
81,CBOE,132.0,14391696195,9369
82,CBRE,106.1,36317892564,11656
83,CCI,206.98,87203342056,5975
84,CCL,21.6,24256765522,57259
85,CDNS,194.68,53909110655,6352
86,CDW,212.83,28793264977,5811
87,CE,169.15,17592724791,7311
88,CERN,93.63,27962133187,13209
89,CF,73.0,15780504744,16942
90,CFG,47.3,20171864237,26147
91,CHD,100.74,24395518668,12277
92,CHRW,105.61,13574144479,11710
93,CHTR,653.1,116848494898,1893
94,CI,235.64,75823609758,5248
95,CINF,115.18,18256909233,10737
96,CL,83.05,72659271518,14892
97,CLX,173.88,20934188772,7112
98,CMA,88.1,11372092711,14038
99,CMCSA,51.66,237838783174,23941
100,CME,239.88,83522870342,5155
101,CMG,1756.38,50795937931,704
102,CMI,219.15,31793719017,5643
103,CMS,66.51,18573802294,18595
104,CNC,88.73,50150629335,13938
105,CNP,27.83,18084255911,44441
106,COF,150.9,64564129153,8196
107,COG,22.29,9185223745,55486
108,COO,412.18,22818456635,3000
109,COP,72.29,95367388537,17108
110,COST,564.93,254970489535,2189
111,COTY,10.94,8635150089,113052
112,CPB,43.64,13154120983,28340
113,CPRT,147.5,36271031659,8385
114,CRM,263.33,251384124893,4696
115,CSCO,64.76,275519215408,19098
116,CSX,38.51,86563330889,32116
117,CTAS,450.0,47188066645,2748
118,CTL,12.0,12187620056,103066
119,CTSH,89.65,47318598304,13795
120,CTVA,47.57,34937642723,25999
121,CTXS,100.68,12803796346,12284
122,CVS,102.32,136135480507,12087
123,CVX,116.91,234521925710,10579
124,CXO,66.8,13014166564,18514
125,D,79.81,64089732630,15496
126,DAL,39.7,26056092378,31153
127,DD,78.79,42002306099,15697
128,DE,363.03,110687993362,3406
129,DFS,120.79,34695530453,10239
130,DG,228.36,53193143216,5415
131,DGX,171.69,20933692992,7203
132,DHI,107.81,37730950882,11472
133,DHR,325.42,240112488519,3800
134,DIS,154.78,285908202519,7990
135,DISCA,25.63,12527226030,48255
136,DISCK,24.75,12426197045,49971
137,DISH,34.51,17333759150,35838
138,DLR,172.45,50319637050,7171
139,DLTR,141.0,31249174491,8771
140,DOV,175.3,26230712377,7055
141,DOW,56.19,41176344734,22010
142,DPZ,568.1,20087928763,2177
143,DRE,64.56,24628696205,19157
144,DRI,149.08,20098550089,8296
145,DTE,117.57,23565798505,10519
146,DUK,107.08,82009288857,11550
147,DVA,111.59,11628459822,11083
148,DVN,42.19,29821999529,29314
149,DXC,33.61,8387931903,36798
150,DXCM,586.48,56603100716,2108
151,EA,134.17,38065581694,9218
152,EBAY,66.26,44008859445,18665
153,ECL,232.91,65549061013,5310
154,ED,86.09,30920733432,14366
155,EFX,298.1,35585919255,4148
156,EIX,68.94,26859347560,17940
157,EL,379.33,137883589169,3260
158,EMN,118.32,16556397640,10452
159,EMR,92.56,55195005579,13362
160,EOG,88.72,51989984239,13940
